id,candidate_id,timetable_id
2444,26228,2
2445,26258,2
2446,26585,2
2447,26634,2
2448,26704,2
2449,26748,1
2453,28145,2
2454,28768,2
2455,28882,1
2458,28951,2
2459,29009,2
2460,29183,2
2461,29682,2
2462,29785,2
2463,29836,2
2465,30223,2
2466,30631,2
2467,30887,2
2468,31633,1
2473,32086,2
2474,32416,2
2475,32635,2
2476,33465,2
2477,33681,2
2478,34034,2
2479,34080,2
2480,34128,2
2481,34305,2
2482,34788,2
2483,34910,1
2485,35471,1
2487,36412,2
2488,36797,2
2489,36969,2
2490,36995,2
2491,37139,2
2492,37187,2
2493,37258,2
2494,37697,2
2495,38466,2
2496,38676,2
2497,38746,1
2500,39028,2
2501,39047,1
2505,39226,1
2508,39459,2
2510,39582,2
2512,39605,2
2513,39771,5
2514,40718,2
2517,40764,2
2518,40828,1
2520,41062,5
2523,41142,2
2524,41228,5
2528,41305,1
2532,41394,2
2533,41560,1
2538,42234,2
2539,42258,2
2540,42264,1
2542,42359,2
2543,43193,2
2544,43410,1
2547,43512,2
2548,43682,2
2549,44315,2
2550,44364,2
2551,44544,1
2555,44554,4
2560,28576,1
2562,38833,1
2564,5899,2
2565,38978,1
2568,41753,2
2569,14979,1
2573,5648,2
2574,12860,1
2578,15149,1
2580,20241,2
2581,27024,2
2583,28714,2
2584,34257,2
2585,36102,2
2586,39908,1
